zone_id,algorithm,route_id,order_id,merchant_type,demand,serving_vehicle,in_route_position
Z092,TS,34,34,convenience,2.71770839618631,small,0
Z092,TS,35,35,convenience,9.79,small,0
Z092,TS,36,36,convenience,4.18627212283608,small,0
Z092,TS,37,37,convenience,3.22742697634387,small,0
Z092,TS,38,38,convenience,6.58674834553195,small,0
Z092,TS,39,39,convenience,18.2116463842087,small,0
Z092,TS,40,40,convenience,7.4123869497059,small,0
Z092,TS,41,41,mall,11.9083812029053,small,0
Z092,TS,42,42,mall,11.6106918493003,small,0
Z092,TS,43,43,mall,5.5718430717641,small,0
Z092,TS,44,44,mall,4.2804972716927,small,0
Z092,TS,45,45,mall,200.0,small,0
Z092,TS,46,46,mall,100.0,small,0
Z092,TS,47,47,mall,10.1507428960413,small,0
Z092,TS,48,48,mall,16.3382272701971,small,0
Z092,TS,49,49,supermarket,15.9409299622509,small,0
Z092,TS,50,50,supermarket,11.089704519365,small,0
Z092,TS,51,51,supermarket,2.55163246839064,small,0
Z092,TS,52,52,mall,28.0904461095245,small,0
Z092,TS,53,53,mall,8.26758636558927,small,0
Z092,TS,54,54,mall,15.307,small,0
Z092,TS,55,55,mall,38.1759722769765,small,0
Z092,TS,56,56,mall,48.6441259927835,small,0
Z092,TS,57,57,mall,7.89666748383305,small,0
Z092,TS,58,58,supermarket,35.0,small,0
Z092,TS,59,59,supermarket,4.87525426588266,small,0
Z092,TS,60,60,supermarket,7.25862079134398,small,0
Z092,TS,61,61,mall,3.03726471409096,small,0
Z092,TS,62,62,convenience,12.7272217039934,small,0
Z092,TS,63,63,convenience,2.73433248309779,small,0
Z092,TS,64,64,convenience,2.29442892149615,small,0
Z092,TS,65,65,convenience,13.1227652681165,small,0
Z092,TS,66,66,convenience,15.7547227489233,small,0
Z092,TS,67,67,convenience,5.03809995634789,small,0
Z092,TS,68,68,convenience,43.1595935434467,small,0
Z092,TS,69,69,mall,2.11391832854511,small,0
Z092,TS,70,70,mall,4.42614647882095,small,0
Z092,VNS,0,0,mall,38.3971190546784,small,0
Z092,VNS,0,1,mall,9.34453314509122,small,1
Z092,VNS,0,2,convenience,11.4131787566951,small,2
Z092,VNS,0,3,convenience,6.44666479200167,small,3
Z092,VNS,0,4,convenience,21.1261611249797,small,4
Z092,VNS,1,59,supermarket,4.87525426588266,small,0
Z092,VNS,1,6,convenience,10.1337276393723,small,1
Z092,VNS,1,7,convenience,18.3136136475392,small,2
Z092,VNS,1,8,supermarket,2.55460789218522,small,3
Z092,VNS,1,9,supermarket,14.6906085496034,small,4
Z092,VNS,2,10,supermarket,1.03017274259246,large,0
Z092,VNS,2,29,mall,6.16523768705235,large,1
Z092,VNS,2,14,convenience,34.6836081568491,large,2
Z092,VNS,2,22,supermarket,10.2210919304996,large,3
Z092,VNS,2,23,supermarket,20000.0,large,4
Z092,VNS,2,24,supermarket,7.82779383767388,large,5
Z092,VNS,3,15,convenience,2.5738920422255,small,0
Z092,VNS,3,20,supermarket,47.3778187114393,small,1
Z092,VNS,3,17,supermarket,2.28167938201534,small,2
Z092,VNS,3,18,supermarket,9.66553815714426,small,3
Z092,VNS,3,19,supermarket,30.9492391392647,small,4
Z092,VNS,4,16,convenience,26.3291582696245,small,0
Z092,VNS,4,12,supermarket,3.34994302684915,small,1
Z092,VNS,4,13,convenience,4.08903091623851,small,2
Z092,VNS,4,60,supermarket,7.25862079134398,small,3
Z092,VNS,5,25,convenience,10.1114601697797,small,0
Z092,VNS,5,26,convenience,40.8549136526366,small,1
Z092,VNS,5,27,convenience,3.92189116856393,small,2
Z092,VNS,5,28,convenience,14.5039406571777,small,3
Z092,VNS,5,11,supermarket,24.86,small,4
Z092,VNS,6,30,mall,7.57719433923348,small,0
Z092,VNS,6,31,mall,765.26,small,1
Z092,VNS,6,32,convenience,11.5111376602769,small,2
Z092,VNS,6,33,convenience,4.72464957555109,small,3
Z092,VNS,6,34,convenience,2.71770839618631,small,4
Z092,VNS,7,35,convenience,9.79,small,0
Z092,VNS,7,36,convenience,4.18627212283608,small,1
Z092,VNS,7,39,convenience,18.2116463842087,small,2
Z092,VNS,7,38,convenience,6.58674834553195,small,3
Z092,VNS,7,37,convenience,3.22742697634387,small,4
Z092,VNS,8,50,supermarket,11.089704519365,small,0
Z092,VNS,8,40,convenience,7.4123869497059,small,1
Z092,VNS,8,41,mall,11.9083812029053,small,2
Z092,VNS,8,42,mall,11.6106918493003,small,3
Z092,VNS,8,43,mall,5.5718430717641,small,4
Z092,VNS,8,44,mall,4.2804972716927,small,5
Z092,VNS,9,45,mall,200.0,small,0
Z092,VNS,9,46,mall,100.0,small,1
Z092,VNS,9,47,mall,10.1507428960413,small,2
Z092,VNS,9,48,mall,16.3382272701971,small,3
Z092,VNS,9,49,supermarket,15.9409299622509,small,4
Z092,VNS,10,51,supermarket,2.55163246839064,small,0
Z092,VNS,10,53,mall,8.26758636558927,small,1
Z092,VNS,10,54,mall,15.307,small,2
Z092,VNS,11,55,mall,38.1759722769765,small,0
Z092,VNS,11,56,mall,48.6441259927835,small,1
Z092,VNS,11,58,supermarket,35.0,small,2
Z092,VNS,11,5,convenience,6.95431205168392,small,3
Z092,VNS,12,21,supermarket,8.32236343177309,small,0
Z092,VNS,12,61,mall,3.03726471409096,small,1
