experiment_type,zone_id,algorithm,objective,distance,time,num_routes,improvement,first_stage_obj,second_stage_obj,convergence_score,param_adjustments,adaptation_steps,final_parameters
hybrid,Z027,CW_VNS,10.85143018810474,0.8514301881047395,0.07551693916320801,10,-3.257629511,0,0,,,,
hybrid,Z027,SA_TS,50.74136256909254,1.7413625690925403,0.7713453769683838,49,-25.69764922,0,0,,,,
hybrid,Z027,SA_VNS,10.85143018810474,0.8514301881047395,0.08004879951477051,10,-4.709497381,0,0,,,,
hybrid,Z012,CW_TS,17.546986785612262,0.5469867856122622,0.11851668357849121,17,-6.813737823,0,0,,,,
hybrid,Z012,CW_VNS,4.322436164461061,0.3224361644610613,0.012000083923339844,4,-0.924796739,0,0,,,,
hybrid,Z012,SA_TS,17.546986785612262,0.5469867856122622,0.12070393562316895,17,-8.28326938,0,0,,,,
hybrid,Z012,SA_VNS,4.322436164461061,0.3224361644610613,0.01199960708618164,4,-1.286793726,0,0,,,,
hybrid,Z028,CW_TS,81.94256167918819,2.4425616791881843,1.9194951057434082,79,-30.20186519,0,0,,,,
hybrid,Z028,CW_VNS,17.719010137707635,1.2190101377076337,0.18545770645141602,16,-5.746996364,0,0,,,,
hybrid,Z028,SA_TS,81.94256167918819,2.4425616791881843,1.9265804290771484,79,-24.05725304,0,0,,,,
hybrid,Z028,SA_VNS,17.719010137707635,1.2190101377076337,0.20042824745178223,16,-4.418304134,0,0,,,,
hybrid,Z021,CW_TS,27.776011587085303,0.7760115870853052,0.2553684711456299,27,-10.71881352,0,0,,,,
hybrid,Z021,CW_VNS,6.397956829845431,0.39795682984543096,0.03073596954345703,6,-1.699324299,0,0,,,,
hybrid,Z021,SA_TS,27.776011587085303,0.7760115870853052,0.25761890411376953,27,-12.44380358,0,0,,,,
hybrid,Z021,SA_VNS,6.397956829845431,0.39795682984543096,0.02610492706298828,6,-2.096660391,0,0,,,,
hybrid,Z041,CW_TS,50.99252793153253,1.4925279315325306,0.7975161075592041,49,-20.09199503,0,0,,,,
hybrid,Z041,CW_VNS,11.346062347222443,0.8460623472224424,0.07508397102355957,10,-3.693061912,0,0,,,,
hybrid,Z041,SA_TS,50.99252793153253,1.4925279315325306,0.7697103023529053,49,-13.64616556,0,0,,,,
hybrid,Z041,SA_VNS,11.346062347222443,0.8460623472224424,0.07351493835449219,10,-2.258836429,0,0,,,,
hybrid,Z013,CW_TS,9.439985423255594,0.4399854232555948,0.04650688171386719,9,-3.382787904,0,0,,,,
hybrid,Z013,CW_VNS,2.1409329414419584,0.1409329414419584,0.0050051212310791016,2,0.006009588032731639,0,0,,,,
hybrid,Z013,SA_TS,9.439985423255594,0.4399854232555948,0.045352935791015625,9,-6.988033071,0,0,,,,
hybrid,Z013,SA_VNS,2.1409329414419584,0.1409329414419584,0.004506349563598633,2,-0.811638723,0,0,,,,
hybrid,Z059,CW_TS,61.46404601290251,1.4640460129025075,1.113633155822754,60,-24.93490361,0,0,,,,
hybrid,Z059,CW_VNS,12.767947847664173,0.7679478476641733,0.10851860046386719,12,-4.387466629,0,0,,,,
hybrid,Z059,SA_TS,61.46404601290251,1.4640460129025075,1.1816253662109375,60,-30.75865774,0,0,,,,
hybrid,Z059,SA_VNS,12.767947847664173,0.7679478476641733,0.1075124740600586,12,-5.597237117,0,0,,,,
hybrid,Z036,CW_TS,42.723146008370435,1.2231460083704355,0.5534076690673828,41,-17.40669576,0,0,,,,
hybrid,Z036,CW_VNS,10.219048103784191,0.7190481037841914,0.056507110595703125,9,-3.40274013,0,0,,,,
hybrid,Z036,SA_TS,42.723146008370435,1.2231460083704355,0.5617766380310059,41,-18.18784735,0,0,,,,
hybrid,Z036,SA_VNS,10.219048103784191,0.7190481037841914,0.056020259857177734,9,-3.589585586,0,0,,,,
hybrid,Z038,CW_TS,42.881541554990655,0.881541554990657,0.5827515125274658,42,-17.5124548,0,0,,,,
hybrid,Z038,CW_VNS,9.562295057665771,0.5622950576657717,0.05850982666015625,9,-3.12815278,0,0,,,,
